Sno,Branch,Value (in Cr),Zone,State,lat,lon,country
642,Hata,7.90330564,Ranchi,Jharkhand,22.620328,86.158749,ind
643,Rairangpur,9.867597853,Bhadrak,Odisha,22.247827,86.165754,ind
644,Raghunathpur,6.997401552,Khurda,Odisha,20.361891,86.167458,ind
645,Nischintakoili,10.76007516,Khurda,Odisha,20.4791011,86.1847117,ind
646,Chas,5.61152325,Ranchi,Jharkhand,23.632598,86.186792,ind
647,Kuakhia,3.873391013,Khurda,Odisha,20.82120798,86.19893434,ind
648,Hasanpur,9.723893736,Samastipur,Bihar,25.74723574,86.20290162,ind
649,Jamui,4.298397765,Bhagalpur,Bihar,24.92134,86.225465,ind
650,Bakhri,10.31744068,Samastipur,Bihar,25.59824,86.260718,ind
651,Chatro,12.36899626,Tilaiya,Jharkhand,24.47061966,86.27022747,ind
652,Jhanjharpur,7.487903354,Samastipur,Bihar,26.270518,86.297715,ind
653,Giridih,4.863640897,Tilaiya,Jharkhand,24.19305,86.299408,ind
654,Jajpur Town,10.1021634,Khurda,Odisha,20.848252,86.32383,ind
655,Balia,4.857684364,Samastipur,Bihar,25.399288,86.355412,ind
656,Bhandaripokhari,4.969483903,Bhadrak,Odisha,20.962767,86.3655534,ind
657,Jhajha,3.44871708,Bhagalpur,Bihar,24.7744999,86.3756867,ind
658,Binjharpur,11.51148181,Khurda,Odisha,20.73822132,86.40149941,ind
659,Dhanbad,5.324354504,Ranchi,Jharkhand,23.816546,86.448353,ind
660,Khaira,7.409130448,Bhadrak,Odisha,21.285094,86.458486,ind
661,Khagaria,9.753462619,Samastipur,Bihar,25.50596,86.46853,ind
662,Singhpur,11.02938184,Khurda,Odisha,20.69918281,86.472161,ind
663,Bhadrak,3.412133411,Bhadrak,Odisha,21.045968,86.48962,ind
664,Bonth,8.147176911,Bhadrak,Odisha,21.045968,86.48962,ind
665,Phulparash,8.602334149,Samastipur,Bihar,26.359031,86.5005691,ind
666,Mangalpur,2.668372845,Khurda,Odisha,20.814657,86.507859,ind
667,Charampa,5.667005206,Bhadrak,Odisha,21.08986486,86.51767728,ind
668,Balichandrapur,7.079747361,Khurda,Odisha,20.51798175,86.3749723,ind
669,Bariyahi,8.13641097,Bhagalpur,Bihar,25.86506187,86.53909204,ind
670,Dhusuri,9.912607352,Bhadrak,Odisha,20.89435621,86.54515245,ind
671,Simri Bakhtiarpur,4.338514556,Bhagalpur,Bihar,25.7208289,86.5930592,ind
672,Supaul,11.38148708,Bhagalpur,Bihar,26.11510755,86.59716359,ind
